instrument_name,date,expiry,strike,option_type,spot,bid_price,ask_price,mark_price,mark_iv,price_btc,price_usd,open_interest,volume_24h,time_to_expiry,iv,delta
BTC-19JAN26-92000-P,2026-01-18 06:52:17.243275,2026-01-19,92000.0,put,95147.53,0.0005,0.0007,0.00061721,41.51,0.00061721,58.7260069913,65.5,0,0.0,0.41509999999999997,
BTC-25SEP26-220000-P,2026-01-18 06:52:17.243281,2026-09-25,220000.0,put,95147.53,1.2255,1.251,1.2374369,48.98,1.2374369,117739.064565857,0.0,0,0.6821917808219178,0.48979999999999996,-0.9692341321098755
BTC-25DEC26-50000-C,2026-01-18 06:52:17.243288,2026-12-25,50000.0,call,95147.53,0.5135,0.5205,0.51783689,56.76,0.51783689,49270.901026381696,0.4,0,0.9315068493150684,0.5676,0.9262472200474561
BTC-27FEB26-86000-P,2026-01-18 06:52:17.243294,2026-02-27,86000.0,put,95147.53,0.0155,0.0165,0.01600988,40.89,0.01600988,1523.3005375964,1335.1,0,0.10684931506849316,0.4089,-0.20522989025142208
BTC-18JAN26-95000-C,2026-01-18 06:52:17.243300,2026-01-18,95000.0,call,95147.53,0.0008,0.0018,0.00174985,15.91,0.00174985,166.49390537050002,451.4,0,-0.0027397260273972603,0.1591,
BTC-20JAN26-90000-C,2026-01-18 06:52:17.243305,2026-01-20,90000.0,call,95147.53,0.0535,0.056,0.05494167,45.34,0.05494167,5227.5641945750995,0.0,0,0.0027397260273972603,0.4534,0.9907508362879569
BTC-25SEP26-40000-P,2026-01-18 06:52:17.243311,2026-09-25,40000.0,put,95147.53,0.005,0.0055,0.00527612,62.48,0.00527612,502.00978598359995,666.6,0,0.6821917808219178,0.6248,-0.02635965291010395
BTC-25SEP26-280000-P,2026-01-18 06:52:17.243317,2026-09-25,280000.0,put,95147.53,1.8265,1.861,1.84307542,53.37,1.84307542,175364.0738167126,0.0,0,0.6821917808219178,0.5337,-0.9870659627472081
BTC-27MAR26-180000-P,2026-01-18 06:52:17.243323,2026-03-27,180000.0,put,95147.53,0.8705,0.8805,0.87526994,53.69,0.87526994,83279.7728742482,0.4,0,0.18356164383561643,0.5368999999999999,-0.9960520137361017
BTC-27MAR26-240000-C,2026-01-18 06:52:17.243329,2026-03-27,240000.0,call,95147.53,0.0,0.0001,5.372e-05,64.16,5.372e-05,5.1113253116,150.3,0,0.18356164383561643,0.6416,0.0006225728938676159
BTC-20JAN26-100000-P,2026-01-18 06:52:17.243335,2026-01-20,100000.0,put,95147.53,0.05,0.053,0.05142548,39.53,0.05142548,4893.0074010644,0.0,0,0.0027397260273972603,0.3953,-0.9916598377522258
BTC-26JUN26-145000-P,2026-01-18 06:52:17.243341,2026-06-26,145000.0,put,95147.53,0.499,0.511,0.50434268,43.66,0.50434268,47986.9602755804,5.1,0,0.4328767123287671,0.4366,-0.9070886168168506
BTC-27MAR26-135000-P,2026-01-18 06:52:17.243346,2026-03-27,135000.0,put,95147.53,0.4055,0.413,0.40890307,42.55,0.40890307,38906.1171199171,42.8,0,0.18356164383561643,0.4255,-0.9662177473873275
BTC-27MAR26-100000-C,2026-01-18 06:52:17.243352,2026-03-27,100000.0,call,95147.53,0.05,0.051,0.05046441,39.47,0.05046441,4801.5639644073,3846.4,0,0.18356164383561643,0.3947,0.4169930548741463
BTC-25DEC26-95000-C,2026-01-18 06:52:17.243358,2026-12-25,95000.0,call,95147.53,0.2005,0.204,0.20222526,47.47,0.20222526,19241.2339926078,153.5,0,0.9315068493150684,0.4747,0.5919113128354081
BTC-25SEP26-95000-C,2026-01-18 06:52:17.243363,2026-09-25,95000.0,call,95147.53,0.1665,0.169,0.16774358,46.23,0.16774358,15960.3873103574,247.9,0,0.6821917808219178,0.4623,0.5772964850482155
BTC-27FEB26-92000-C,2026-01-18 06:52:17.243368,2026-02-27,92000.0,call,95147.53,0.0705,0.0715,0.07132736,38.97,0.07132736,6786.6221254208,2250.2,0,0.10684931506849316,0.3897,0.6284591830357027
BTC-27MAR26-200000-P,2026-01-18 06:52:17.243373,2026-03-27,200000.0,put,95147.53,1.0785,1.0895,1.08345169,58.05,1.08345169,103087.75217782569,7.4,0,0.18356164383561643,0.5805,-0.9978991834300968
BTC-26JUN26-240000-C,2026-01-18 06:52:17.243379,2026-06-26,240000.0,call,95147.53,0.0008,0.0011,0.0009972,54.01,0.0009972,94.881116916,536.2,0,0.4328767123287671,0.5401,0.007633463713518346
BTC-25DEC26-240000-P,2026-01-18 06:52:17.243385,2026-12-25,240000.0,put,95147.53,1.3975,1.431,1.41285161,48.5,1.41285161,134429.34094802328,0.0,0,0.9315068493150684,0.485,-0.9592888449976368
BTC-25SEP26-200000-C,2026-01-18 06:52:17.243391,2026-09-25,200000.0,call,95147.53,0.0075,0.0085,0.00775041,47.36,0.00775041,737.4323679873,917.3,0,0.6821917808219178,0.4736,0.04423134344979535
BTC-27FEB26-130000-P,2026-01-18 06:52:17.243396,2026-02-27,130000.0,put,95147.53,0.3585,0.3645,0.36130163,43.51,0.36130163,34376.9576794739,0.0,0,0.10684931506849316,0.4351,-0.9831374740604083
BTC-23JAN26-92000-C,2026-01-18 06:52:17.243401,2026-01-23,92000.0,call,95147.53,0.038,0.0405,0.03946527,39.05,0.03946527,3755.0229612830994,1172.4,0,0.010958904109589041,0.39049999999999996,0.8004834404913448
BTC-19JAN26-98000-C,2026-01-18 06:52:17.243407,2026-01-19,98000.0,call,95147.53,0.0004,0.0006,0.00051813,35.7,0.00051813,49.2987897189,241.4,0,0.0,0.35700000000000004,
BTC-30JAN26-106000-C,2026-01-18 06:52:17.243413,2026-01-30,106000.0,call,95147.53,0.0017,0.0019,0.00179532,37.5,0.00179532,170.8202635596,1042.0,0,0.030136986301369864,0.375,0.05191145318587465
BTC-21JAN26-95000-P,2026-01-18 06:52:17.243418,2026-01-21,95000.0,put,95147.53,0.011,0.012,0.01143597,33.79,0.01143597,1088.1042986541,8.5,0,0.005479452054794521,0.3379,-0.47028837527420914
BTC-27FEB26-84000-C,2026-01-18 06:52:17.243424,2026-02-27,84000.0,call,95147.53,0.132,0.135,0.13353144,42.08,0.13353144,12705.1866933432,30.6,0,0.10684931506849316,0.4208,0.835148311577832
BTC-23JAN26-82000-P,2026-01-18 06:52:17.243431,2026-01-23,82000.0,put,95147.53,0.0003,0.0005,0.00033138,58.24,0.00033138,31.529988491399997,463.3,0,0.010958904109589041,0.5824,-0.006763100317148416
BTC-25SEP26-145000-C,2026-01-18 06:52:17.243437,2026-09-25,145000.0,call,95147.53,0.0335,0.0355,0.03469575,45.0,0.03469575,3301.2149139975,233.2,0,0.6821917808219178,0.45,0.17164463384977413
BTC-30JAN26-140000-P,2026-01-18 06:52:17.243443,2026-01-30,140000.0,put,95147.53,0.468,0.4725,0.4697931,62.98,0.4697931,44699.653076043,135.9,0,0.030136986301369864,0.6297999999999999,-0.9997472045415042
BTC-25DEC26-150000-P,2026-01-18 06:52:17.243449,2026-12-25,150000.0,put,95147.53,0.545,0.566,0.55534693,46.08,0.55534693,52839.8886825829,1.2,0,0.9315068493150684,0.4608,-0.7884823190975001
BTC-25SEP26-160000-C,2026-01-18 06:52:17.243454,2026-09-25,160000.0,call,95147.53,0.021,0.0225,0.02176681,45.26,0.02176681,2071.0582074793,370.9,0,0.6821917808219178,0.4526,0.11440439046091172
BTC-27MAR26-180000-C,2026-01-18 06:52:17.243460,2026-03-27,180000.0,call,95147.53,0.0002,0.0004,0.00032229,53.69,0.00032229,30.6650974437,2208.2,0,0.18356164383561643,0.5368999999999999,0.003947986263898225
BTC-19JAN26-93000-P,2026-01-18 06:52:17.243465,2026-01-19,93000.0,put,95147.53,0.001,0.0013,0.0011374,36.39,0.0011374,108.220800622,403.1,0,0.0,0.3639,
BTC-30JAN26-80000-P,2026-01-18 06:52:17.243470,2026-01-30,80000.0,put,95147.53,0.001,0.0012,0.00110337,52.06,0.00110337,104.9829301761,2748.6,0,0.030136986301369864,0.5206000000000001,-0.024773341068909736
BTC-6FEB26-95000-P,2026-01-18 06:52:17.243476,2026-02-06,95000.0,put,95147.53,0.0315,0.0325,0.03178236,36.82,0.03178236,3024.0130515708,266.1,0,0.049315068493150684,0.3682,-0.4761332138907523
BTC-23JAN26-95000-C,2026-01-18 06:52:17.243481,2026-01-23,95000.0,call,95147.53,0.0175,0.0185,0.01803728,36.39,0.01803728,1716.2026399183999,609.0,0,0.010958904109589041,0.3639,0.523835018902066
BTC-27FEB26-50000-C,2026-01-18 06:52:17.243486,2026-02-27,50000.0,call,95147.53,0.476,0.478,0.47702082,73.83,0.47702082,45387.3527815746,1.3,0,0.10684931506849316,0.7383,0.9973376431220373
BTC-23JAN26-82000-C,2026-01-18 06:52:17.243492,2026-01-23,82000.0,call,95147.53,0.138,0.14,0.13884396,58.24,0.13884396,13210.659849418798,0.0,0,0.010958904109589041,0.5824,0.9932368996828516
BTC-25DEC26-115000-C,2026-01-18 06:52:17.243498,2026-12-25,115000.0,call,95147.53,0.122,0.125,0.12356643,46.25,0.12356643,11757.0406054179,9.3,0,0.9315068493150684,0.4625,0.4202148144988789
BTC-27MAR26-150000-P,2026-01-18 06:52:17.243503,2026-03-27,150000.0,put,95147.53,0.56,0.568,0.56356202,46.28,0.56356202,53621.534204810596,19.2,0,0.18356164383561643,0.4628,-0.9859757424933362
BTC-25DEC26-80000-P,2026-01-18 06:52:17.243509,2026-12-25,80000.0,put,95147.53,0.087,0.089,0.08783711,49.28,0.08783711,8357.4840588383,538.9,0,0.9315068493150684,0.4928,-0.27345731185153654
BTC-30JAN26-96000-C,2026-01-18 06:52:17.243514,2026-01-30,96000.0,call,95147.53,0.0225,0.023,0.02288662,36.6,0.02288662,2177.6053630486,2238.8,0,0.030136986301369864,0.366,0.45675453957675116
BTC-27MAR26-95000-P,2026-01-18 06:52:17.243520,2026-03-27,95000.0,put,95147.53,0.063,0.064,0.06343719,40.04,0.06343719,6035.891938640701,1369.7,0,0.18356164383561643,0.4004,-0.46222913013295847
BTC-26JUN26-60000-P,2026-01-18 06:52:17.243525,2026-06-26,60000.0,put,95147.53,0.0105,0.011,0.01097954,53.71,0.01097954,1044.6761115361999,2034.5,0,0.4328767123287671,0.5371,-0.06923871524373575
BTC-25DEC26-90000-P,2026-01-18 06:52:17.243530,2026-12-25,90000.0,put,95147.53,0.1275,0.131,0.12924135,47.93,0.12924135,12296.9952263655,172.1,0,0.9315068493150684,0.4793,-0.3625954222622443
BTC-27FEB26-86000-C,2026-01-18 06:52:17.243536,2026-02-27,86000.0,call,95147.53,0.1145,0.1175,0.1161072,40.89,0.1161072,11047.313295216,189.4,0,0.10684931506849316,0.4089,0.794770109748578
BTC-21JAN26-99000-C,2026-01-18 06:52:17.243541,2026-01-21,99000.0,call,95147.53,0.0015,0.0018,0.00164676,34.66,0.00164676,156.6851465028,2.0,0,0.005479452054794521,0.34659999999999996,0.06249065126998449
BTC-30JAN26-91000-P,2026-01-18 06:52:17.243547,2026-01-30,91000.0,put,95147.53,0.01,0.011,0.01054398,38.46,0.01054398,1003.2336533693999,193.1,0,0.030136986301369864,0.3846,-0.2416765695924008
BTC-30JAN26-101000-P,2026-01-18 06:52:17.243552,2026-01-30,101000.0,put,95147.53,0.066,0.069,0.06732172,36.33,0.06732172,6405.4953733516,0.0,0,0.030136986301369864,0.36329999999999996,-0.8198833267964618
BTC-27MAR26-106000-P,2026-01-18 06:52:17.243558,2026-03-27,106000.0,put,95147.53,0.1335,0.1365,0.13509313,39.39,0.13509313,12853.7776394689,6.0,0,0.18356164383561643,0.39390000000000003,-0.710768657405866
BTC-20JAN26-93000-C,2026-01-18 06:52:17.243564,2026-01-20,93000.0,call,95147.53,0.0245,0.0265,0.02554087,35.51,0.02554087,2430.1506945511,4.0,0,0.0027397260273972603,0.35509999999999997,0.8920565379166283
BTC-27MAR26-240000-P,2026-01-18 06:52:17.243569,2026-03-27,240000.0,put,95147.53,1.4935,1.5075,1.49998393,64.16,1.49998393,142719.7659791929,0.0,0,0.18356164383561643,0.6416,-0.9993774271061324
BTC-25DEC26-180000-P,2026-01-18 06:52:17.243575,2026-12-25,180000.0,put,95147.53,0.8185,0.8435,0.82977503,46.57,0.82977503,78951.0445601759,0.0,0,0.9315068493150684,0.4657,-0.8836965381727124
